"Stock.ID","Species","Stock","Region","Sub.Region","UseFlag","BroodYear","TotalEscapement","R0.1","R0.2","R0.3","R0.4","R0.5","R1.1","R1.2","R1.3","R1.4","R1.5","R2.1","R2.2","R2.3","R2.4","R3.1","R3.2","R3.3","R3.4"
155,"Sockeye","Ugashik","Bristol Bay","Bristol Bay South",1,"1955",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
155,"Sockeye","Ugashik","Bristol Bay","Bristol Bay South",1,"1956",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,"9.03609508689273e-10","0"
155,"Sockeye","Ugashik","Bristol Bay","Bristol Bay South",1,"1957",NA,NA,NA,NA,NA,"0",NA,NA,NA,"996.989660673874","0",NA,NA,"40842.9586872424","0",NA,"9.03956588131486e-10","3.68388083289561e-05","0"
155,"Sockeye","Ugashik","Bristol Bay","Bristol Bay South",1,"1958",NA,NA,NA,NA,"0","0",NA,NA,"165551.586934069","0","0",NA,"440004.049669424","53021.0012780931","0","0","3.96430174592187e-08","6.49494374815918e-09","0"
155,"Sockeye","Ugashik","Bristol Bay","Bristol Bay South",1,"1959",NA,NA,NA,"0","0","0",NA,"27692.2549353037","60776.5932101259","649.065755051205","0","3694.46063888672","248741.342367595","152270.610765872","1.84173705200868e-09","0","6.51860864176149e-09","3086.98665717511","0"
155,"Sockeye","Ugashik","Bristol Bay","Bristol Bay South",1,"1960",NA,NA,"0","0","0","0","867.022758235866","937285.507472268","391311.606354852","961.836229901524","0","5926.18776712196","1997877.25616841","531779.576472451","0","0","1451.84970473443","1.06478984636585e-09","0"
155,"Sockeye","Ugashik","Bristol Bay","Bristol Bay South",1,"1961",NA,"0","2.73400120426472e-09","10770.4819695635","0","0","67.6839307445112","329872.156775916","484228.907734943","1165.81149874685","0","1262.44017470201","273290.003538251","119788.927808315","266.342209837177","0","1.06458690361054e-09","42.7241581690641","0"
155,"Sockeye","Ugashik","Bristol Bay","Bristol Bay South",1,"1962",NA,"0","0","699.076699432332","0","0","240.732810187664","77486.9444911143","149927.907053771","79.3183803975237","0","754.095812192974","158144.038617612","20233.0552743817","0","0","8.04158449566225e-10","2.15433612207365e-09","0"
155,"Sockeye","Ugashik","Bristol Bay","Bristol Bay South",1,"1963","388254","0","0","1.06478984636585e-09","0","0","0","10883.5452489168","21607.7313323553","2125.79085379284","0","48.901593928048","77496.9099422455","20578.242622801","0","0","2.15391029111223e-09","4.57397540088424e-09","0"
155,"Sockeye","Ugashik","Bristol Bay","Bristol Bay South",1,"1964","472770","0","0","102.232460730913","0","0","133.664341158354","18937.8619586213","8226.24415352521","0","0","10590.2432874921","220162.908291361","16285.1978173547","0","0","4.57891762005814e-09","294.161741552358","0"
155,"Sockeye","Ugashik","Bristol Bay","Bristol Bay South",1,"1965","996612","0","0","0","0","0","7.99915848061505e-10","47512.0865504668","51187.141399962","549.039499428946","0","2815.21277212956","212639.57545864","76457.5616204593","6.38429878088867e-10","0","1793.83667338834","6.37304498937817e-10","0"
155,"Sockeye","Ugashik","Bristol Bay","Bristol Bay South",1,"1966","704436","0","373.240661056587","406.762666542812","117.074065185077","0","100.575775744334","772415.783771252","1554968.78644942","228.375448760938","0","0","42250.3376177687","17326.4125044507","0","0","6.36772472306279e-10","5.57527575260092e-10","0"
155,"Sockeye","Ugashik","Bristol Bay","Bristol Bay South",1,"1967","238830","0","0","1.66715900376268e-09","6.38429878088867e-10","0","0","98165.5942208475","54843.6594661183","4.46023604226231e-10","0","1.67794587697893e-09","42253.9569386811","34931.5139690132","114.365789984547","0","41.7855432635963","0","0"
155,"Sockeye","Ugashik","Bristol Bay","Bristol Bay South",1,"1968","70896","0","1.66863186147551e-09","6.37304498937817e-10","0","0","0","16984.7086799186","10063.2709430591","9.27929321488729e-10","0","0","13507.686703439","4394.11012664316","138.013634923501","0","9.27929163141209e-10","2.48098106819494e-09","0"
155,"Sockeye","Ugashik","Bristol Bay","Bristol Bay South",1,"1969","160380","0","0","4.4602206017896e-10","0","0","111.070532650051","4547.89600353383","5660.77021456654","0","0","319.260557600381","52667.526642019","24457.5466165374","9.58339761745836e-08","0","1478.71885801225","2.14659412728756e-06","0"
155,"Sockeye","Ugashik","Bristol Bay","Bristol Bay South",1,"1970","735024","0","0","0","0","0","4.46023577824299e-10","3708.87462633552","2799.2416642571","0","0","205.928029310741","303315.547440934","1.99183847560234e-06","0","0","44928.0599289508","751.406958537284","0"
155,"Sockeye","Ugashik","Bristol Bay","Bristol Bay South",1,"1971","529752","0","0","0","0","0","9.2792928662941e-10","193375.625943543","4.04824387872159e-07","0","0","0","573772.558892092","165880.3127445","1722.90762275046","0","85.1069886214399","965.793029616729","0"
155,"Sockeye","Ugashik","Bristol Bay","Bristol Bay South",1,"1972","79428","0","0","1.18372700707763e-07","0","0","2.48107641826617e-09","2.16737220462922e-07","87270.6299293576","1.449826941601e-09","0","5.27918987284524e-07","145198.447240521","39457.8317891019","0","0","1743.93744890345","2499.05970355643","0"
